"title","obis","records","totalrecords","fraction","taxa","org_title","org_country","installation_title","node_title"
"Inventario de la biota marina (invertebrados, peces y macroalgas bentónicos) del parque nacional Isla Isabel",,1655,1655,1.00,307,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"(Appendix A5) Relative abundances of planktonic foraminifera of sediment core GeoB1711-4",,1654,1654,1.00,3,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Biodiversidad de moluscos opistobranquios (Mollusca: Opisthobranchiata), del Pacífico mexicano: Isla Cedros-Vizcaíno e islas del Golfo de California parte Sur",,1654,1654,1.00,164,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Distribution of planktic foraminifera of sediment core GIK18287-3",,1646,1749,0.94,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abunances of benthic foraminifera in Late Oligocene to Miocene sediments of ODP Hole 121-757B from the southeastern Indian Ocean (Appendix Table 1)",,1645,1672,0.98,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core RC12-339",,1637,1805,0.91,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Fish (ASJK-PI)",,1636,1636,1.00,126,"JEOLLANAMDO MARITIME & FISHERIES SCIENCE MUSEUM","KR","KBIF IPT","Korean Biodiversity Information Facility"
"University of Ghent - Zoology Museum - Vertebratacollectie",,1634,5843,0.28,602,"BeBIF Provider","BE","TAPIR Installation","Belgium Biodiversity Information Facility"
"Aves Argentinas / Asociación Ornitológica del Plata - Conteo anual de chorlos de pastizal en Argentina - Campañas 2009-2010",,1630,1664,0.98,3,"Ministerio de Ciencia, Tecnología e Innovación Productiva","AR","Ministerio de Ciencia, Tecnología e Innovación Productiva IPT","GBIF Argentina"
"Botanical Museum, Copenhagen. Database of type specimens",,1629,20269,0.08,791,"Botanical Garden & Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"Belgian IFBL Flora Checklists (1939-1971)",,1623,993476,0.00,19,"BeBIF Provider","BE","Belgian BIF IPT","Belgium Biodiversity Information Facility"
"Plan de vertebrados de la Patagonia",,1622,27840,0.06,39,"Administración de Parques Nacionales, Argentina","AR","IABIN - Species and Specimen Thematic Network","GBIF Argentina"
"Biodiversity of Antarctic Zoobenthos (SCAR-MarBIN: Antarctic OBIS)",t,1621,1623,1.00,305,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Antarctic Echinoids: an interactive database",,1621,1623,1.00,305,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Slovenian Fungal Database - Boletus informaticus",,1618,160315,0.01,102,"Slovenian Forestry Institute","SI","Slovenian Forestry Institute","GBIF Slovenia"
"REVIZEE South Score / Pelagic and Demersal Fish Database (OBIS South America, BRAZIL)",t,1618,1618,1.00,167,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Percentages of planktonic foraminifera species in sediment core RC13-189",,1611,1611,1.00,23,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Avifauna de la laguna Madre de Tamaulipas",,1610,3385,0.48,64,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Stable isotope analysis of benthic foraminifera and summer sea surface temperature reconstruction of sediment core PS2489-2",,1608,1608,1.00,3,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Hawaiian Algal Database",,1608,1623,0.99,296,"University of Hawaii","US","TAPIR Installation","Pacific Biodiversity Information Forum (PBIF)"
"AMNH Herpetology Collections",,1606,331049,0.00,65,"American Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"(Table T4, T5, T6, T7) Percentage of agglutinated and calcareous benthic foraminiferal species in ODP Hole 178-1098C",,1606,1634,0.98,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"National Inventory of Swiss bryophytes",,1605,121060,0.01,3,"National Inventory of Swiss bryophytes","CH","BioCASe Installation National Inventory of Swiss bryophytes","GBIF Switzerland"
"Crustáceos estomatópodos, anfípodos, isópodos y decápodos del litoral de Quintana Roo",,1602,1626,0.99,250,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"(Figure 6) Occurrence of planktonic foraminifers and other selected constituents in samples from DSDP Hole 80-550",,1600,3040,0.53,19,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 2) Relative abundance of benthic foraminifera in sediment core HUD84-030-04",,1599,1653,0.97,77,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core V22-174",,1597,1662,0.96,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Ontario Breeding Bird Atlas 1981-1985",,1597,14883,0.11,36,"Bird Studies Canada","CA","Bird Studies Canada","Canada Biodiversity Information Facility"
"Planktic foraminifera assemblage of sediment core ELT45.029-PC",,1596,1599,1.00,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Bird Collection",,1596,21201,0.08,160,"Utah Museum of Natural History","US","DiGIR Installation","U.S. Geological Survey"
"(Table 2) Relative abundance of benthic foraminifera in sediment core CD17-30",,1594,1606,0.99,41,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Appendix) Planktonic foraminifera abundances in ODP Site 138-847B",,1588,1634,0.97,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Demersal and pelagic species from the Patagonian shelf (OBIS South America, SOUTHERN OCEAN SUB-NODE)",t,1587,1587,1.00,34,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Conchological Society of Great Britain &amp; Ireland - Mollusc (non-marine): Compilation of records of rare and scarce species for Great Britain and Northern Ireland",,1578,15581,0.10,17,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core V25-59",,1574,1649,0.95,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera abundance of Hole 72-518",,1571,1729,0.91,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Appendix B) Distribution of planktonic foraminifera at DSDP Hole 72-518",,1563,1717,0.91,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"MVZ Egg and Nest Collection (Arctos)",,1558,14197,0.11,215,"Museum of Vertebrate Zoology","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Herbarium (AMNH)",,1556,45329,0.03,196,"Icelandic Institute of Natural History","IS","DiGIR Installation","GBIF Iceland"
"Relative abundance of deep-sea benthic foraminifera in surface sediments east of New Zealand",,1548,1600,0.97,106,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise Dana00/5",,1548,1548,1.00,140,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"West Wales Biodiversity Information Centre - Sea Trust Stena Europe Survey of Cetaceans in the St Georgeâs Channel, April 2004- April 2011",,1547,1547,1.00,5,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"CBS Filamentous Fungi Database",,1544,8153,0.19,1542,"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)","JP","DiGIR Installation","World Federation for Culture Collections (WFCC)"
"Alterra (NL) - Entomofauna inventory in riverside grasslands",,1542,15996,0.10,27,"Alterra, Wageningen UR","NL","Alterra IPT","Netherlands Biodiversity Information Facility"
"The Scottish Ornithologists' Club - Fife breeding bird tetrad atlas 1991-99",,1540,17449,0.09,33,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Percentages of planktonic foraminifera species in sediment core RC24-16",,1539,1539,1.00,23,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Vascular Plant Herbarium, UiB",,1537,189009,0.01,22,"University of Bergen","NO","gbif.no","GBIF Norway"
"Abundance of benthic infauna in surface sediments from the North Sea sampled during two Michael Sars cruises in 2000",,1536,1536,1.00,150,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Merseyside BioBank - North Merseyside Flowering Plants (verified)",,1535,85729,0.02,20,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Whale and Dolphin Conservation Society - WDCS Shorewatch Sightings",,1534,1534,1.00,10,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"(Table A5) Distribution of planktic foraminifera and sea surface temperature reconstruction of sediment core V30-97 in the North Atlantic",,1532,1532,1.00,4,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core RC11-86",,1529,1604,0.95,23,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"MEXU/Colección de Plantas Acuáticas",,1528,34532,0.04,19,"UNIBIO, IBUNAM","MX","DiGIR Installation","Biodiversity Information System of Mexico"
"Mammal collection, Natural History Museum, University of Oslo",,1525,18120,0.08,46,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Phytopathogenic Fungi Observed by Hans and Hanna Doppelbaur",,1524,18789,0.08,113,"Staatliche Naturwissenschaftliche Sammlungen Bayerns","DE","BioCASe Installation Staatliche Naturwissenschaftliche Sammlungen Bayerns","GBIF Germany"
"Mollusca Collection of Natural History Museum and Institute, Chiba",,1516,1839,0.82,48,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Shellfish (ASJK_MS)",,1515,1704,0.89,179,"JEOLLANAMDO MARITIME & FISHERIES SCIENCE MUSEUM","KR","KBIF IPT","Korean Biodiversity Information Facility"
"International Collection of Microorganisms from Plants - New Zealand National Microbial Collection",,1513,8936,0.17,308,"GBIF New Zealand","NZ","TAPIR Installation","GBIF New Zealand"
"(Table 3B) Occurrence and estimated abundance of planktonic foraminifers at DSDP Holes 85-572C and 85-572D",,1512,3339,0.45,23,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 2) Live benthic foraminifera in surface sediments from the eastern South Atlantic Polar Front region",,1512,1531,0.99,81,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera abundance of Hole 47-397",,1511,5317,0.28,17,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera abundance of Hole 26-258A",,1508,1847,0.82,17,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Figure 4) Distribution of benthic foraminifers in the Upper Cretaceous of DSDP Hole 71-511",,1500,1500,1.00,10,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Distribution of planktic foraminifers of core RC10-62",,1498,1605,0.93,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 4) Relative abundance of benthic foraminifera in late Cenozoic sediments of DSDP Hole 68-503A from the East Pacific Ocean",,1497,1573,0.95,117,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 5) Distribution of Neogene planktonic foraminifers in sediments of ODP Hole 115-707A",,1494,3984,0.38,18,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 6) Occurrence and estimated abundance of planktonic foraminifers at DSDP Site 85-575",,1488,3657,0.41,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Benthic foraminifera of sediment core MD99-2286",,1487,1538,0.97,59,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"UAZ Bird Collection",,1486,17509,0.08,186,"University of Arizona Museum of Natural History","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Sphaeroceridae Collection",,1481,46127,0.03,4,"Museum für Naturkunde Berlin","DE","BioCASe Installation Museum für Naturkunde Berlin","GBIF Germany"
"Aves Marinas y Playeras en el PNN Sanquianga y la Bocana de Iscuandé entre 2007 y 2009",,1481,1727,0.86,33,"Asociación para el estudio y conservación de las aves acuáticas en Colombia","CO","Datos sobre biodiversidad Valle del Cauca","Colombian Biodiversity Information System"
"(Table S1) Benthic foraminifera of ODP Holes 199-1218A and 199-1219A",,1479,1484,1.00,28,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Appendix B) Benthic foraminifera in Indian Ocean surface sediments",,1478,1483,1.00,36,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Cetacean distribution in the South Atlantic and South Pacific Ocean (AR-OBIS) (OBIS South America, SOUTHERN OCEAN SUB-NODE)",t,1478,1478,1.00,15,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"Distribution of barnacles, bivalves, gastropods, and calcified worm tubes in sediment samples collected between 1995 and 2010 in the San Francisco Bay coastal system",,1475,1475,1.00,5,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Plants of Papua New Guinea",,1474,99318,0.01,240,"National Herbarium of New South Wales","AU","DiGIR Installation","Atlas of Living Australia"
"Planktic foraminifera abundance of Hole 80-548",,1470,1707,0.86,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Gunma Museum of Natural History, Molluscan Specimen",,1470,1968,0.75,609,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Colección de Oligoquetos Acuáticos de la UPV/EHU",,1463,2192,0.67,53,"Dep. Zoology and Animal Cellular Biology, Fac. Sciences, Univ. País Vasco","ES","TAPIR Installation","GBIF Spain"
"CNAV/Coleccion Nacional de Aves",,1463,26864,0.05,118,"UNIBIO, IBUNAM","MX","DiGIR Installation","Biodiversity Information System of Mexico"
"Relative abundances of twenty-eight dominant benthic foraminifera species of DSDP Hole 23-219 (Table 1s)",,1462,1462,1.00,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Tromsø Museum, Fungi",,1460,25157,0.06,166,"Natural History Museum, University of Oslo","NO","gbif.no","GBIF Norway"
"Range table from benthic foraminifers in ODP Hole 149-898A",,1458,1469,0.99,78,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Biogeographic distribution of the Antarctic and Sub-Antarctic brachiopods (living forms)",,1457,1465,0.99,32,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"(Table 14A) Occurrences of planktonic foraminifers in DSDP Hole 90-592, samples 592-1-CC through 592-29-CC",,1451,2278,0.64,27,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 3) Distribution of planktonic and selected benthic foraminifers from DSDP Hole 87-583",,1447,1512,0.96,39,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 5) Distribution of planktonic and selected benthic foraminifers from DSDP Hole 87-583D",,1446,1574,0.92,32,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Geochemistry and sedimentology on core PO200/10_6-2",,1445,1445,1.00,22,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Colección de Crustacea del Museo Nacional de Historia Natural de Chile",,1444,1734,0.83,188,"Ministerio del Medio Ambiente de Chile","CL","GBIF Ministerio del Medio Ambiente de Chile","GBIF Chile"
"Distribution of planktic foraminifera of sediment core M33/1_SL_EAST",,1444,1530,0.94,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 4) Distribution of planktonic foraminifers in ODP Site 126-792",,1443,1776,0.81,33,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"DSMZ Bacteria",,1442,7308,0.20,1418,"WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)","JP","DiGIR Installation","World Federation for Culture Collections (WFCC)"
"Distribution of benthic foraminifera in DSDP Hole 24-238 in the Central Indian Ocean (Appendix A)",,1442,1442,1.00,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"United States National Plant Germplasm System Collection",,1437,300959,0.00,15,"US National Plant Germplasm System","US","BioCASe Installation US National Plant Germplasm System","U.S. Geological Survey"
"Scottish Environment Protection Agency - River macroinvertebrate data for 2005 and 2006",,1436,9414,0.15,200,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"(App 11) Relative contents of mass species of planktonic foraminifera in sediments from Core S-17954",,1433,1433,1.00,14,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Range table from planktonic foraminifers in ODP Hole 139-856A",,1427,1427,1.00,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Biogeographic distribution of Antarctic and sub-Antarctic Cumacea",,1427,1427,1.00,80,"Antarctic Biodiversity Information Facility (ANTABIF)","","Scientific Committee on Antarctic Research - Marine Biodiversity Information Network (SCAR-MarBIN)","Scientific Committee on Antarctic Research (SCAR)"
"Pond Conservation - National Pond Monitoring Network collated pond survey data for Great Britain 1972 to 2007",,1427,27156,0.05,43,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"Actualización de bases de datos de peces",,1425,1451,0.98,144,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Naturalis Biodiversity Center (NL) - Botany Wageningen",,1424,479102,0.00,94,"Naturalis Biodiversity Center","NL","Naturalis Biodiversity Center IPT","Netherlands Biodiversity Information Facility"
"(Appendix B1) Relative abundances of middle Eocene-late Oligocene calcareous nannofossils in ODP Hole 120-748B",,1418,6500,0.22,2,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"RAVON (NL) - Fish observations extracted from Redeke (1907)",,1417,1417,1.00,40,"Reptile, Amphibian and Fish Conservation Netherlands (RAVON)","NL","RAVON IPT","Netherlands Biodiversity Information Facility"
"CCBER Ornithology Collection",,1410,6942,0.20,90,"Cheadle Center for Biodiversity and Ecological Restoration","US","IPT - Hosted by VertNet","U.S. Geological Survey"
"Composition of the coccolith flora in sediment core GeoB1710-3",,1408,1408,1.00,15,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Abundance of coccoliths in sediment core GeoB1710-3",,1408,1408,1.00,15,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Distribución e inventario de algunas especies bentónicas (hexacorales, octocorales, esponjas, y especies misceláneas) en arrecifes del Caribe mexicano",,1406,1419,0.99,322,"Comisión nacional para el conocimiento y uso de la biodiversidad","MX","CONABIO","Biodiversity Information System of Mexico"
"Reptiles and Amphibians collection (RA) of the Muséum national d'Histoire Naturelle (MNHN - Paris)",,1405,161420,0.01,69,"MNHN - Museum national d'Histoire naturelle","FR","MNHN - Collections","GBIF France"
"Abundance of organic-walled dinoflagellate cysts of sediment core GeoB3603-2",,1401,1555,0.90,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"COMARGIS: Information System on Continental Margin Ecosystems",,1398,1417,0.99,425,"IFREMER -  French Research Institute for Exploitation of the Sea","FR","Ifremer","GBIF France"
"Amphibians and Reptiles collection at the Natural History Museum of Denmark (SNM)",,1394,15234,0.09,47,"Zoological Museum, Natural History Museum of Denmark","DK","DanBIF IPT at Aarhus University","DanBIF - Danish Biodiversity Information Facility"
"(Table  7) Benthic foraminifera in middle-late Miocene sediments of DSDP Site 90-590",,1394,1462,0.95,40,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of organic-walled dinoflagellate cysts in surface sediments",,1393,1498,0.93,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Fish tissues, Division of Genomic Resources, UNM, Albuquerque, NM.",,1389,1868,0.74,5,"Arctos","US","Arctos","U.S. Geological Survey"
"(Table 7) Distribution of dead benthic foraminifera in deep-sea surface sediments of the Scotia Sea, part 2",,1388,1421,0.98,118,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Raw counts of dinoflagellate cysts in several IODP and DSDP holes",,1387,1846,0.75,16,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Table 3) Occurrences of planktonic foraminifers in samples from ODP Hole 105-647A",,1386,1518,0.91,20,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Figure 4) Occurrence of planktonic foraminifers and other selected constituents in samples from DSDP Hole 80-549A",,1386,2898,0.48,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"MNA Italica 2004_Rauschert dredge_Ross_sea_Mollusca_lgp",,1380,1380,1.00,109,"Antarctic Biodiversity Information Facility (ANTABIF)","","ANTABIF IPT","Scientific Committee on Antarctic Research (SCAR)"
"AM: Freshwater Invertebrates (1900-2005)",,1379,19522,0.07,139,"South African National Biodiversity Institute","ZA","South African National Biodiversity Institute - IPT","South African Biodiversity Information Facility"
"Abundance of benthic infauna in surface sediments from the North Sea sampled during cruise DeHolland1986",,1371,1380,0.99,395,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Planktic foraminifera assemblage in sediment core GIK16773-1",,1371,1371,1.00,25,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Centro Nacional Patagonico Ichthyological Collection (OBIS South America, SOUTHERN OCEAN SUB-NODE)",t,1370,1442,0.95,141,"Ocean Biogeographic Information System","","DiGIR Installation","Ocean Biogeographic Information System (OBIS)"
"(Table 4) Plio-Pleistocene benthic foraminifera of ODP Hole 107-652A",,1370,1394,0.98,110,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"AAD Benthic Sampling Database",,1363,1365,1.00,313,"Australian Antarctic Data Centre","AU","DiGIR Installation","Atlas of Living Australia"
"Waterbirds of the Botanic Garden Meise",,1359,5666,0.24,1,"Botanical Garden Meise","BE","Botanical Garden Meise Data Portal","Belgium Biodiversity Information Facility"
"Range table from planktonic foraminifers in ODP Hole 159-959B",,1357,2111,0.64,29,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Sea shell specimens database of Mr. Toru Ueda collection, Shizuoka Prefecture Museum of Natural History",,1356,1554,0.87,651,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"Planktic foraminifera counts of sediment core AB000280",,1352,1352,1.00,21,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"MfN - Heteroptera Collection",,1349,81453,0.02,36,"Museum für Naturkunde Berlin","DE","BioCASe Installation Museum für Naturkunde Berlin","GBIF Germany"
"(Appendix A) Relative abundance of planktonic foraminifera in ODP Hole 117-723A",,1347,1422,0.95,26,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Percentages of planktonic foraminifera species in sediment core V25-59",,1346,1346,1.00,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Joint Nature Conservation Committee - Wales Otter Survey Database",,1346,1346,1.00,1,"UK National Biodiversity Network","GB","HTTP Installation UK NBN","National Biodiversity Network"
"(Table 1) Relative abundance of planktonic foraminifers in ODP Hole 164-997A sediments",,1346,1496,0.90,30,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Relative abundance of planktic foraminifera in the 120 kyr time slice reconstruction of sediment core V34-88",,1345,1419,0.95,24,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Colección de Zoología Invertebrados - Otros invertebrados",,1344,1561,0.86,291,"Facultad de Ciencias Naturales y Museo - U.N.L.P.","AR","Facultad de Ciencias Naturales y Museo - Servidor Principal","GBIF Argentina"
"Chromista Collection of the Seto Marine Biological Laboratory, Kyoto University",,1344,1346,1.00,130,"National Museum of Nature and Science, Japan","JP","Museum Node of Japan","GBIF Japan"
"University of Vienna, Institute for Botany - Herbarium WU",,1343,62526,0.02,287,"University of Vienna, Institute for Botany - Herbarium WU","AT","BioCASe Installation University of Vienna, Institute for Botany - Herbarium WU","GBIF Austria"
"(Table T1) Foraminifer abundance of ODP Hole 188-1165B",,1341,1413,0.95,19,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"Plasm bearing foraminifera counts during METEOR cruise M36/5",,1340,1340,1.00,10,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
"(Appendix 1) Distribution of planktonic foraminifera in sediment of the last 70 kyr of ODP Core 161-977A from the western Mediterranean Sea",,1340,1340,1.00,15,"PANGAEA - Publishing Network for Geoscientific and Environmental Data","DE","PANGAEA DiGIR provider","GBIF Germany"
